date,forecast
2018-08-30,8402.394
2018-08-31,12376.804
2018-09-01,15786.721
2018-09-02,18707.785
2018-09-03,21193.74
2018-09-04,23297.553
2018-09-05,25069.469
2018-09-06,26555.822
2018-09-07,27798.39
2018-09-08,28834.186
2018-09-09,29695.555
2018-09-10,30410.445
2018-09-11,31002.777
2018-09-12,31492.89
2018-09-13,31897.959
2018-09-14,32232.424
2018-09-15,32498.24
2018-09-16,32706.81
2018-09-17,32870.36
2018-09-18,32998.55
2018-09-19,33098.984
2018-09-20,33177.65
2018-09-21,33239.254
2018-09-22,33287.492
2018-09-23,33325.254
2018-09-24,33354.816
2018-09-25,33377.953
2018-09-26,33396.06
2018-09-27,33410.227
2018-09-28,33421.32
